----system---- --total-cpu-usage-- ------memory-usage----- --io/total-----io/sda------io/sdh-- -dsk/total----dsk/sda-----dsk/sdh-- ----root--------data---
     time     |usr sys idl wai stl| used  free  buff  cach| read  writ: read  writ: read  writ| read  writ: read  writ: read  writ| used  free: used  free
24-02 14:26:00|  3   1  95   1   0|3045M 9472M 1463M 16.9G| 166  91.0 :   0     0 : 166  85.0 |  21M   25M:   0     0 :  21M   25M|44.9G  451G:52.4G  439G
24-02 14:26:01|  2   1  96   1   0|3052M 9463M 1463M 16.9G| 292  98.0 :   0  8.00 : 292  90.0 |  25M   26M:   0    36k:  25M   26M|44.9G  451G:52.4G  439G
24-02 14:26:02|  2   1  96   1   0|3051M 9464M 1463M 16.9G| 156  92.0 :   0  4.00 : 156  88.0 |  20M   25M:   0   108k:  20M   25M|44.9G  451G:52.4G  439G
24-02 14:26:03|  2   1  96   1   0|3053M 9462M 1463M 16.9G| 226   144 :   0  4.00 : 226   136 |  23M   32M:   0    20k:  23M   32M|44.9G  451G:52.4G  439G
24-02 14:26:04|  3   1  95   1   0|3049M 9467M 1463M 16.9G| 182  95.0 :   0  2.00 : 182  87.0 |  20M   45M:   0    12k:  20M   45M|44.9G  451G:52.4G  439G
24-02 14:26:05|  2   2  96   1   0|3050M 9467M 1463M 16.9G| 185   122 :   0  6.00 : 185  94.0 |  22M   46M:   0    28k:  22M   45M|44.9G  451G:52.4G  439G
24-02 14:26:06|  3   1  95   1   0|3059M 9456M 1463M 16.9G| 246   112 :   0  8.00 : 246  98.0 |  23M   24M:   0    36k:  23M   24M|44.9G  451G:52.4G  439G
24-02 14:26:07|  1   1  97   1   0|3057M 9458M 1463M 16.9G| 172  92.0 :   0  4.00 : 172  88.0 |  21M   26M:   0    96k:  21M   26M|44.9G  451G:52.4G  439G
24-02 14:26:08|  3   2  95   1   0|3063M 9451M 1463M 16.9G| 237   153 :   0  34.0 : 237   119 |  23M   26M:   0   140k:  23M   26M|44.9G  451G:52.4G  439G
24-02 14:26:09|  2   1  96   1   0|3062M 9451M 1463M 16.9G| 191   137 :   0  10.0 : 191   117 |  21M   25M:   0    52k:  21M   25M|44.9G  451G:52.4G  439G
24-02 14:26:10|  2   1  96   1   0|3062M 9452M 1463M 16.9G| 162   138 :   0  12.0 : 162  81.0 |  20M   29M:   0   560k:  20M   26M|44.9G  451G:52.4G  439G
24-02 14:26:11|  2   1  96   1   0|3062M 9455M 1463M 16.9G| 233   119 :   0  37.0 : 233  82.0 |  23M   26M:   0   160k:  23M   26M|44.9G  451G:52.4G  439G
24-02 14:26:12|  2   1  96   1   0|3065M 9454M 1463M 16.9G| 168   122 :   0  42.0 : 168  80.0 |  20M   26M:   0   588k:  20M   26M|44.9G  451G:52.4G  439G
24-02 14:26:13|  2   1  89   7   0|3062M 9460M 1463M 16.9G| 195  1894 :   0  14.0 : 195  1870 |  18M  304M:   0   168k:  18M  304M|44.9G  451G:52.4G  439G
24-02 14:26:14|  4   2  91   3   0|3060M 9462M 1463M 16.9G| 337   157 :   0  11.0 : 337   136 |  25M   60M:   0    48k:  25M   59M|44.9G  451G:52.4G  439G
24-02 14:26:15|  2   2  96   0   0|3056M 9466M 1463M 16.9G| 152  89.0 :   0     0 : 152  87.0 |  19M   25M:   0     0 :  19M   25M|44.9G  451G:52.4G  439G
24-02 14:26:16|  4   2  93   1   0|3057M 9465M 1463M 16.9G| 283   114 :   0  8.00 : 283   100 |  24M   24M:   0    40k:  24M   24M|44.9G  451G:52.4G  439G
24-02 14:26:17|  3   1  95   1   0|3062M 9460M 1463M 16.9G| 162   105 :1.00  7.00 : 161  98.0 |  20M   25M:8192B  124k:  20M   25M|44.9G  451G:52.4G  439G
24-02 14:26:18|  2   1  91   5   0|3062M 9461M 1464M 16.9G| 295   478 :   0  9.00 : 295   469 |  25M  143M:   0   348k:  25M  143M|44.9G  451G:52.4G  439G
24-02 14:26:19|  2   1  96   1   0|3058M 9464M 1464M 16.9G| 159   175 :   0  4.00 : 159  80.0 |  19M   26M:   0    20k:  19M   24M|44.9G  451G:52.4G  439G
24-02 14:26:20|  2   1  96   1   0|3048M 9476M 1464M 16.9G| 164  95.0 :   0  3.00 : 164  84.0 |  20M   26M:   0    16k:  20M   26M|44.9G  451G:52.4G  439G
24-02 14:26:21|  2   1  96   1   0|3052M 9471M 1464M 16.9G| 254   121 :   0  7.00 : 254   114 |  23M   28M:   0    28k:  23M   28M|44.9G  451G:52.4G  439G
24-02 14:26:22|  2   2  95   1   0|3045M 9478M 1464M 16.9G| 156  88.0 :   0  6.00 : 156  82.0 |  19M   25M:   0   104k:  19M   25M|44.9G  451G:52.4G  439G
24-02 14:26:23|  1   1  96   1   0|3042M 9482M 1464M 16.9G| 233  80.0 :   0  6.00 : 233  74.0 |  23M   31M:   0   180k:  23M   31M|44.9G  451G:52.4G  439G
24-02 14:26:24|  6   2  92   1   0|3096M 9427M 1464M 16.9G| 191  90.0 :   0  13.0 : 191  69.0 |  21M   45M:   0    56k:  21M   45M|44.9G  451G:52.4G  439G
24-02 14:26:25|  3   2  94   1   0|3098M 9423M 1464M 16.9G| 167   145 :   0  4.00 : 167  89.0 |  21M   50M:   0    20k:  21M   48M|44.9G  451G:52.4G  439G
24-02 14:26:26|  3   1  95   1   0|3095M 9427M 1464M 16.9G| 206   113 :   0  4.00 : 206   103 |  21M   30M:   0    20k:  21M   30M|44.9G  451G:52.4G  439G
24-02 14:26:27|  2   1  95   1   0|3102M 9420M 1464M 16.9G| 192  93.0 :   0  2.00 : 192  91.0 |  22M   25M:   0   104k:  22M   25M|44.9G  451G:52.4G  439G
24-02 14:26:28|  2   2  95   1   0|3035M 9488M 1464M 16.9G| 208  88.0 :   0  3.00 : 208  85.0 |  22M   25M:   0    20k:  22M   25M|44.9G  451G:52.4G  439G
24-02 14:26:29|  2   1  96   1   0|3038M 9485M 1464M 16.9G| 230   146 :   0  9.00 : 230   129 |  23M   26M:   0   240k:  23M   25M|44.9G  451G:52.4G  439G
24-02 14:26:30|  2   2  96   1   0|3041M 9482M 1464M 16.9G| 159   123 :   0  3.00 : 159  78.0 |  20M   25M:   0    12k:  20M   25M|44.9G  451G:52.4G  439G
24-02 14:26:31|  2   1  96   1   0|3039M 9484M 1464M 16.9G| 256  78.0 :   0  2.00 : 256  74.0 |  24M   26M:   0  8192B:  24M   26M|44.9G  451G:52.4G  439G
24-02 14:26:32|  3   1  95   1   0|3040M 9482M 1464M 16.9G| 161  87.0 :   0  7.00 : 161  80.0 |  20M   26M:   0   176k:  20M   25M|44.9G  451G:52.4G  439G
24-02 14:26:33|  2   2  96   1   0|3042M 9478M 1464M 16.9G| 218  82.0 :   0  6.00 : 218  76.0 |  22M   26M:   0    28k:  22M   26M|44.9G  451G:52.4G  439G
24-02 14:26:34|  3   2  95   1   0|3045M 9478M 1464M 16.9G| 197  79.0 :   0  2.00 : 197  71.0 |  21M   26M:   0    12k:  21M   25M|44.9G  451G:52.4G  439G
24-02 14:26:35|  2   2  95   1   0|3045M 9478M 1464M 16.9G| 168   100 :   0  6.00 : 168  90.0 |  21M   26M:   0   164k:  21M   26M|44.9G  451G:52.4G  439G
----system---- --total-cpu-usage-- ------memory-usage----- --io/total-----io/sda------io/sdh-- -dsk/total----dsk/sda-----dsk/sdh-- ----root--------data---
     time     |usr sys idl wai stl| used  free  buff  cach| read  writ: read  writ: read  writ| read  writ: read  writ: read  writ| used  free: used  free
24-02 14:26:36|  3   2  79  17   0|3042M 9481M 1464M 16.9G| 354  1056 :   0  36.0 : 354   962 |  24M  356M:   0   208k:  24M  355M|44.9G  451G:52.4G  439G
24-02 14:26:37|  2   1  97   1   0|3039M 9483M 1464M 16.9G| 155  97.0 :   0  7.00 : 155  88.0 |  19M   25M:   0   132k:  19M   25M|44.9G  451G:52.4G  439G
24-02 14:26:38|  2   1  96   1   0|3034M 9489M 1464M 16.9G| 218  91.0 :   0     0 : 218  91.0 |  23M   26M:   0     0 :  23M   26M|44.9G  451G:52.4G  439G
24-02 14:26:39|  3   1  95   1   0|3048M 9472M 1464M 16.9G| 201  99.0 :   0  9.00 : 201  84.0 |  22M   26M:   0    40k:  22M   26M|44.9G  451G:52.4G  439G
24-02 14:26:40|  2   1  96   1   0|3046M 9469M 1464M 16.9G| 569  95.0 : 405  5.00 : 164  82.0 |  27M   26M:6936k   28k:  20M   25M|44.9G  451G:52.4G  439G
24-02 14:26:41|  2   1  94   3   0|3038M 9476M 1464M 16.9G| 206   447 :   0  10.0 : 206   410 |  20M  106M:   0   296k:  20M  105M|44.9G  451G:52.4G  439G
24-02 14:26:42|  3   1  96   1   0|3043M 9472M 1464M 16.9G| 176  82.0 :   0  3.00 : 176  79.0 |  21M   26M:   0   148k:  21M   26M|44.9G  451G:52.4G  439G
24-02 14:26:43|  3   1  95   1   0|3045M 9471M 1464M 16.9G| 226   106 :   0  9.00 : 226  95.0 |  23M   30M:   0    40k:  23M   30M|44.9G  451G:52.4G  439G
24-02 14:26:44|  4   2  93   1   0|3048M 9468M 1464M 16.9G| 237   115 :   0  39.0 : 237  70.0 |  23M   47M:   0   164k:  23M   46M|44.9G  451G:52.4G  439G
24-02 14:26:45|  2   2  95   1   0|3048M 9468M 1464M 16.9G| 164   154 :   0     0 : 164   152 |  20M   46M:   0     0 :  20M   46M|44.9G  451G:52.4G  439G
24-02 14:26:46|  3   1  96   1   0|3044M 9473M 1464M 16.9G| 234   103 :   0  3.00 : 234  92.0 |  22M   31M:   0    16k:  22M   30M|44.9G  451G:52.4G  439G
24-02 14:26:47|  3   1  95   1   0|3054M 9462M 1464M 16.9G| 171   105 :   0  7.00 : 171  98.0 |  21M   27M:   0   124k:  21M   26M|44.9G  451G:52.4G  439G
24-02 14:26:48|  3   1  96   1   0|3049M 9472M 1464M 16.9G| 176   149 :   0  5.00 : 176  98.0 |  20M   26M:   0    24k:  20M   24M|44.9G  451G:52.4G  439G
24-02 14:26:49|  2   1  96   1   0|3051M 9471M 1464M 16.9G| 243  85.0 :   0  5.00 : 243  74.0 |  23M   25M:   0    20k:  23M   25M|44.9G  451G:52.4G  439G
24-02 14:26:50|  3   1  96   1   0|3052M 9470M 1464M 16.9G| 168  87.0 :   0  2.00 : 168  79.0 |  21M   26M:   0  8192B:  21M   26M|44.9G  451G:52.4G  439G
24-02 14:26:51|  4   1  94   1   0|3062M 9457M 1464M 16.9G| 244  84.0 :   0  11.0 : 244  73.0 |  23M   25M:   0    52k:  23M   25M|44.9G  451G:52.4G  439G
24-02 14:26:52|  3   1  95   1   0|3069M 9451M 1464M 16.9G| 166  85.0 :   0  9.00 : 166  76.0 |  20M   25M:   0   108k:  20M   25M|44.9G  451G:52.4G  439G
24-02 14:26:53|  2   1  96   1   0|3057M 9461M 1464M 16.9G| 216  71.0 :   0     0 : 216  69.0 |  22M   25M:   0     0 :  22M   25M|44.9G  451G:52.4G  439G
24-02 14:26:54|  4   2  89   5   0|3068M 9468M 1464M 16.9G|1097  80.0 :   0     0 :1097  72.0 |  80M   26M:   0     0 :  80M   26M|44.9G  451G:52.4G  439G
24-02 14:26:55|  8   2  89   2   0|3054M 9466M 1464M 16.9G| 240   177 :   0  9.00 : 240   111 |  22M   38M:   0    44k:  22M   34M|44.9G  451G:52.4G  439G
24-02 14:26:56|  4   3  78  14   0|3052M 9466M 1464M 16.9G| 352  1048 :   0  41.0 : 352   991 |  32M  362M:   0   716k:  32M  361M|44.9G  451G:52.4G  439G
24-02 14:26:57|  2   2  95   1   0|3059M 9460M 1464M 16.9G| 475   124 :   0  2.00 : 475   122 |  51M   56M:   0    84k:  51M   56M|44.9G  451G:52.4G  439G
24-02 14:26:58|  3   2  93   1   0|3042M 9477M 1464M 16.9G|1415   126 :   0  7.00 :1415   119 |  54M   56M:   0    32k:  54M   56M|44.9G  451G:52.4G  439G
24-02 14:26:59|  3   2  87   8   0|3039M 9485M 1465M 16.9G| 307   567 :   0  9.00 : 307   552 |  20M  176M:   0    44k:  20M  176M|44.9G  451G:52.4G  439G
24-02 14:27:00|  3   2  94   1   0|3040M 9485M 1465M 16.9G| 755   134 :   0  1.00 : 755   127 |6828k   57M:   0  4096B:6828k   57M|44.9G  451G:52.4G  439G
24-02 14:27:01|  2   2  95   1   0|3038M 9486M 1465M 16.9G|1031  94.0 :   0  2.00 :1031  88.0 |  17M   55M:   0  8192B:  17M   55M|44.9G  451G:52.4G  439G
24-02 14:27:02|  5   2  92   1   0|3099M 9427M 1465M 16.9G|2782   104 :   0  17.0 :2782  87.0 |  33M   52M:   0   152k:  33M   52M|44.9G  451G:52.4G  439G
24-02 14:27:03|  4   2  94   1   0|3113M 9412M 1465M 16.9G| 164  99.0 :   0  8.00 : 164  91.0 |  20M   48M:   0    32k:  20M   48M|44.9G  451G:52.4G  439G
24-02 14:27:04|  4   2  93   1   0|3111M 9414M 1465M 16.9G| 232   108 :   0  1.00 : 232   101 |  23M   67M:   0  8192B:  23M   67M|44.9G  451G:52.4G  439G
24-02 14:27:05|  3   2  89   6   0|3115M 9412M 1465M 16.9G| 149   721 :   0  18.0 : 149   645 |  17M  190M:   0   416k:  17M  187M|44.9G  451G:52.4G  439G
24-02 14:27:06|  4   2  85  10   0|3113M 9411M 1465M 16.9G| 390   606 :   0  7.00 : 390   593 |  27M  268M:   0    36k:  27M  268M|44.9G  451G:52.4G  439G
24-02 14:27:07|  2   1  96   1   0|3117M 9408M 1465M 16.9G| 159   108 :   0  4.00 : 159   104 |  19M   55M:   0   100k:  19M   55M|44.9G  451G:52.4G  439G
24-02 14:27:08|  3   1  94   1   0|3052M 9473M 1465M 16.9G| 217   156 :   0  34.0 : 217   118 |  23M   56M:   0   140k:  23M   55M|44.9G  451G:52.4G  439G
24-02 14:27:09|  3   1  94   2   0|3048M 9479M 1465M 16.9G| 210   223 :   0  3.00 : 210   214 |  21M  100M:   0    16k:  21M  100M|44.9G  451G:52.4G  439G
24-02 14:27:10|  4   2  81  13   0|3050M 9476M 1465M 16.9G| 294   526 :   0  10.0 : 294   510 |  23M  190M:   0    48k:  23M  190M|44.9G  451G:52.4G  439G
24-02 14:27:11|  2   1  95   1   0|3053M 9473M 1465M 16.9G| 256   166 :   0  13.0 : 256   108 |  23M   56M:   0   400k:  23M   54M|44.9G  451G:52.4G  439G
24-02 14:27:12|  3   2  94   1   0|3052M 9475M 1465M 16.9G| 203  88.0 :   0  5.00 : 203  83.0 |  22M   29M:   0   168k:  22M   29M|44.9G  451G:52.4G  439G
24-02 14:27:13|  2   1  96   1   0|3053M 9473M 1465M 16.9G| 210  89.0 :   0  2.00 : 210  87.0 |  21M   39M:   0  8192B:  21M   39M|44.9G  451G:52.4G  439G
24-02 14:27:14|  4   3  92   1   0|3050M 9478M 1465M 16.9G| 256   126 :   0  6.00 : 256   112 |  25M   80M:   0    28k:  25M   80M|44.9G  451G:52.4G  439G
24-02 14:27:15|  3   2  94   1   0|3050M 9478M 1465M 16.9G| 164   147 :   0     0 : 164   145 |  19M   73M:   0     0 :  19M   73M|44.9G  451G:52.4G  439G
24-02 14:27:16|  3   2  94   1   0|3047M 9483M 1465M 16.9G| 282   133 :   0  5.00 : 282   126 |  25M   66M:   0    24k:  25M   65M|44.9G  451G:52.4G  439G
24-02 14:27:17|  3   2  74  21   0|3058M 9471M 1465M 16.9G| 201   938 :   0  74.0 : 201   807 |  16M  418M:   0   584k:  16M  417M|44.9G  451G:52.4G  439G
24-02 14:27:18|  3   1  95   1   0|3055M 9473M 1465M 16.9G|39.0   113 :   0  2.00 :39.0   111 |1012k   52M:   0  8192B:1012k   52M|44.9G  451G:52.5G  439G
24-02 14:27:19|  3   2  96   0   0|3050M 9479M 1465M 16.9G|   0   104 :   0  6.00 :   0  92.0 |   0    27M:   0    24k:   0    27M|44.9G  451G:52.5G  439G
24-02 14:27:20|  3   2  94   1   0|3049M 9482M 1465M 16.9G|18.0   103 :   0  7.00 :18.0  88.0 | 676k   45M:   0    36k: 676k   45M|44.9G  451G:52.5G  439G
----system---- --total-cpu-usage-- ------memory-usage----- --io/total-----io/sda------io/sdh-- -dsk/total----dsk/sda-----dsk/sdh-- ----root--------data---
     time     |usr sys idl wai stl| used  free  buff  cach| read  writ: read  writ: read  writ| read  writ: read  writ: read  writ| used  free: used  free
24-02 14:27:21|  3   2  91   4   0|3047M 9485M 1466M 16.9G|   0   672 :   0  6.00 :   0   666 |   0   305M:   0    28k:   0   305M|44.9G  451G:52.5G  439G
24-02 14:27:22|  3   2  94   1   0|3049M 9482M 1466M 16.9G|16.0   161 :   0  11.0 :16.0   148 | 456k   56M:   0   400k: 456k   56M|44.9G  451G:52.5G  439G
24-02 14:27:23|  2   1  96   1   0|3040M 9492M 1466M 16.9G|14.0   139 :   0     0 :14.0  96.0 | 344k   61M:   0     0 : 344k   60M|44.9G  451G:52.6G  439G
24-02 14:27:24|  4   2  94   1   0|3040M 9491M 1466M 16.9G|3.00   118 :   0     0 :3.00   112 |  24k   77M:   0     0 :  24k   77M|44.9G  451G:52.6G  439G
24-02 14:27:25|  3   2  94   1   0|3046M 9485M 1466M 16.9G|18.0   116 :   0  7.00 :18.0   105 | 456k   61M:   0    32k: 456k   61M|44.9G  451G:52.6G  438G
24-02 14:27:26|  5   1  93   1   0|3050M 9481M 1466M 16.9G|23.0   212 :   0  11.0 :23.0   201 | 400k   33M:   0    52k: 400k   33M|44.9G  451G:52.6G  438G
24-02 14:27:27|  3   1  95   1   0|3052M 9483M 1466M 16.9G|1.00   150 :   0  4.00 :1.00   138 |8192B   55M:   0    92k:8192B   55M|44.9G  451G:52.6G  438G
24-02 14:27:28|  2   1  94   2   0|3045M 9491M 1466M 16.9G|23.0   608 :   0  6.00 :23.0   602 |1352k  216M:   0    28k:1352k  216M|44.9G  451G:52.7G  438G
24-02 14:27:29|  2   2  95   1   0|3056M 9480M 1466M 16.9G| 251   117 :   0  10.0 : 251   101 |  30M   56M:   0    48k:  30M   56M|44.9G  451G:52.7G  438G
24-02 14:27:30|  3   2  94   2   0|3061M 9476M 1466M 16.9G| 118   257 :   0  12.0 : 118   188 |  13M  124M:   0   344k:  13M  121M|44.9G  451G:52.7G  438G
24-02 14:27:31|  3   2  84  11   0|3055M 9480M 1466M 16.9G|10.0   783 :   0  3.00 :10.0   780 | 104k  452M:   0    12k: 104k  452M|44.9G  451G:52.7G  438G
24-02 14:27:32|  3   1  95   1   0|3054M 9481M 1466M 16.9G| 513  85.0 :   0  2.00 : 513  83.0 |2840k   41M:   0   164k:2840k   41M|44.9G  451G:52.7G  438G
24-02 14:27:33|  3   2  94   1   0|3050M 9484M 1466M 16.9G|3163   130 :   0  19.0 :3163   109 |  13M   30M:   0    80k:  13M   30M|44.9G  451G:52.8G  438G
24-02 14:27:34|  3   2  95   1   0|3047M 9486M 1466M 16.9G| 276   119 :   0     0 : 276   113 |1732k   75M:   0     0 :1732k   75M|44.9G  451G:52.8G  438G
24-02 14:27:35|  3   2  95   1   0|3044M 9490M 1466M 16.9G|31.0   132 :   0  3.00 :31.0   127 | 944k   76M:   0    20k: 944k   76M|44.9G  451G:52.8G  438G
24-02 14:27:36|  4   2  94   0   0|3046M 9489M 1466M 16.9G|   0   151 :   0  12.0 :   0   137 |   0    64M:   0   284k:   0    64M|44.9G  451G:52.8G  438G
24-02 14:27:37|  3   2  95   1   0|3051M 9486M 1466M 16.9G|25.0   111 :   0  4.00 :25.0   101 | 880k   56M:   0    92k: 880k   56M|44.9G  451G:52.8G  438G
24-02 14:27:38|  4   2  84  11   0|3045M 9493M 1466M 16.9G|46.0  1051 :   0  63.0 :46.0   911 | 536k  502M:   0   336k: 536k  500M|44.9G  451G:52.9G  438G
24-02 14:27:39|  2   1  95   1   0|3047M 9491M 1466M 16.9G|81.0   112 :   0  4.00 :81.0   102 |1488k   38M:   0    16k:1488k   38M|44.9G  451G:52.9G  438G
24-02 14:27:40|  5   2  89   5   0|3080M 9457M 1466M 16.9G| 234   389 :   0  22.0 : 234   355 |  28M  192M:   0   164k:  28M  192M|44.9G  451G:52.9G  438G
24-02 14:27:41|  4   2  93   1   0|3107M 9430M 1466M 16.9G| 304   103 :   0  8.00 : 304  93.0 |  35M   54M:   0    40k:  35M   54M|44.9G  451G:52.9G  438G
24-02 14:27:42|  4   2  90   5   0|3106M 9431M 1467M 16.9G| 232   380 :   0  3.00 : 232   377 |  28M  169M:   0   124k:  28M  169M|44.9G  451G:52.9G  438G
24-02 14:27:43|  3   2  94   1   0|3092M 9444M 1467M 16.9G| 294   115 :   0  4.00 : 294   111 |  34M   57M:   0    16k:  34M   57M|44.9G  451G:53.0G  438G
24-02 14:27:44|  4   3  93   1   0|3102M 9436M 1467M 16.9G| 245   133 :   0  7.00 : 245   118 |  30M   81M:   0    36k:  30M   81M|44.9G  451G:53.0G  438G
24-02 14:27:45|  2   2  94   1   0|3100M 9438M 1467M 16.9G|3377   169 :   0  3.00 :3377   120 |  22M   78M:   0   216k:  22M   74M|44.9G  451G:53.0G  438G
24-02 14:27:46|  3   2  85  10   0|3105M 9433M 1467M 16.9G|2650   665 :   0  16.0 :2650   642 |  12M  360M:   0    72k:  12M  359M|44.9G  451G:53.0G  438G
24-02 14:27:47|  2   1  95   2   0|3104M 9435M 1467M 16.9G| 446   457 :   0  35.0 : 446   407 |  33M  135M:   0   280k:  33M  134M|44.9G  451G:53.0G  438G
24-02 14:27:48|  3   2  94   1   0|3050M 9489M 1467M 16.9G| 276   198 :   0  8.00 : 276   190 |  33M   56M:   0    36k:  33M   56M|44.9G  451G:53.1G  438G
24-02 14:27:49|  2   1  96   1   0|3051M 9488M 1467M 16.9G| 250   113 :   0  3.00 : 250   104 |  31M   55M:   0    16k:  31M   55M|44.9G  451G:53.1G  438G
24-02 14:27:50|  3   2  95   1   0|3052M 9488M 1467M 16.9G| 298   110 :   0  6.00 : 298  96.0 |  35M   56M:   0    28k:  35M   56M|44.9G  451G:53.1G  438G
24-02 14:27:51|  2   2  86  10   0|3047M 9493M 1467M 16.9G| 247   688 :   0  12.0 : 247   630 |  24M  278M:   0   168k:  24M  277M|44.9G  451G:53.1G  438G
24-02 14:27:52|  3   2  93   2   0|3050M 9491M 1467M 16.9G|2821   325 :   0  6.00 :2821   317 |  25M  101M:   0   112k:  25M  101M|44.9G  451G:53.1G  438G
24-02 14:27:53|  2   2  96   1   0|3047M 9495M 1468M 16.9G|3305   126 :   0  2.00 :3305   124 |  18M   58M:   0    12k:  18M   58M|44.9G  451G:53.2G  438G
24-02 14:27:54|  4   2  91   3   0|3046M 9495M 1468M 16.9G| 272   262 :   0  17.0 : 272   232 |  32M  141M:   0   212k:  32M  140M|44.9G  451G:53.2G  438G
24-02 14:27:55|  3   2  90   5   0|3044M 9496M 1468M 16.9G| 232   887 :   0  18.0 : 232   825 |  27M  309M:   0   112k:  27M  308M|44.9G  451G:53.2G  438G
24-02 14:27:56|  4   3  94   0   0|3045M 9494M 1468M 16.9G| 245   233 :   0  9.00 : 245   218 |  30M   72M:   0    48k:  30M   72M|44.9G  451G:53.2G  438G
24-02 14:27:57|  3   2  94   1   0|3040M 9499M 1468M 16.9G| 287   127 :   0     0 : 287   121 |  34M   57M:   0     0 :  34M   57M|44.9G  451G:53.2G  438G
24-02 14:27:58|  4   2  94   1   0|3045M 9496M 1468M 16.9G| 249   121 :   0  9.00 : 249   110 |  31M   58M:   0   132k:  31M   57M|44.9G  451G:53.3G  438G
24-02 14:27:59|  3   2  83  11   0|3053M 9493M 1468M 16.9G|3051   628 :   0  54.0 :3051   560 |  38M  306M:   0   368k:  38M  306M|44.9G  451G:53.3G  438G
24-02 14:28:00|  4   2  94   1   0|3053M 9493M 1468M 16.9G|3858   121 :   0     0 :3858   115 |  17M   57M:   0     0 :  17M   57M|44.9G  451G:53.3G  438G
24-02 14:28:01|  4   2  90   4   0|3052M 9492M 1468M 16.9G| 388   459 :   0  8.00 : 388   449 |  31M  179M:   0    36k:  31M  178M|44.9G  451G:53.3G  438G
24-02 14:28:02|  4   2  94   1   0|3058M 9487M 1468M 16.9G| 293   167 :   0  1.00 : 293   166 |  34M   58M:   0  4096B:  34M   58M|44.9G  451G:53.3G  438G
24-02 14:28:03|  4   2  94   0   0|3058M 9486M 1468M 16.9G| 247  97.0 :   0  11.0 : 247  84.0 |  31M   57M:   0   124k:  31M   57M|44.9G  451G:53.3G  438G
24-02 14:28:04|  3   2  92   2   0|3056M 9489M 1468M 16.9G| 272   280 :   0  12.0 : 272   210 |  33M  127M:   0   232k:  33M  126M|44.9G  451G:53.4G  438G
24-02 14:28:05|  4   2  88   6   0|3060M 9482M 1468M 16.9G| 263   450 :   0  9.00 : 263   437 |  21M  267M:   0    52k:  21M  267M|44.9G  451G:53.4G  438G
----system---- --total-cpu-usage-- ------memory-usage----- --io/total-----io/sda------io/sdh-- -dsk/total----dsk/sda-----dsk/sdh-- ----root--------data---
     time     |usr sys idl wai stl| used  free  buff  cach| read  writ: read  writ: read  writ| read  writ: read  writ: read  writ| used  free: used  free
24-02 14:28:06|  3   2  92   3   0|3056M 9490M 1468M 16.9G|1244   323 :   0  11.0 :1244   307 |  23M  169M:   0    92k:  23M  168M|44.9G  451G:53.4G  438G
24-02 14:28:07|  2   1  96   1   0|3064M 9482M 1468M 16.9G|3941   124 :   0  6.00 :3941   112 |  16M   58M:   0    28k:  16M   58M|44.9G  451G:53.4G  438G
24-02 14:28:08|  3   2  95   1   0|3052M 9494M 1468M 16.9G| 534   143 :   0  38.0 : 534   103 |  33M   56M:   0   236k:  33M   56M|44.9G  451G:53.4G  438G
24-02 14:28:09|  2   2  96   1   0|3048M 9499M 1468M 16.9G| 279   107 :   0  4.00 : 279  97.0 |  33M   56M:   0    16k:  33M   56M|44.9G  451G:53.5G  438G
24-02 14:28:10|  3   2  87   9   0|3054M 9493M 1468M 16.9G| 195   605 :   0  21.0 : 195   527 |  23M  298M:   0   364k:  23M  297M|44.9G  451G:53.5G  438G
24-02 14:28:11|  3   2  93   2   0|3064M 9482M 1469M 16.9G| 304   346 :   0  14.0 : 304   332 |  36M  106M:   0    64k:  36M  106M|44.9G  451G:53.5G  438G
24-02 14:28:12|  2   2  96   1   0|3068M 9478M 1469M 16.9G| 248   114 :   0  1.00 : 248   111 |  31M   57M:   0  4096B:  31M   56M|44.9G  451G:53.5G  438G
24-02 14:28:13|  2   2  90   6   0|3063M 9483M 1469M 16.9G|2044   448 :   0  9.00 :2044   388 |  20M  235M:   0   384k:  20M  233M|44.9G  451G:53.5G  438G
24-02 14:28:14|  3   2  94   1   0|3065M 9481M 1469M 16.9G|3730   107 :   0  5.00 :3730  96.0 |  16M   72M:   0    24k:  16M   72M|44.9G  451G:53.6G  438G
24-02 14:28:15|  3   3  89   5   0|3061M 9484M 1469M 16.9G| 605   411 :   0  24.0 : 605   374 |  28M  241M:   0   220k:  28M  240M|44.9G  451G:53.6G  437G
24-02 14:28:16|  3   2  94   1   0|3056M 9491M 1469M 16.9G| 242   281 :   0  3.00 : 242   278 |  30M  128M:   0    12k:  30M  128M|44.9G  451G:53.6G  437G
24-02 14:28:17|  3   2  95   1   0|3059M 9488M 1469M 16.9G| 289   118 :   0  1.00 : 289   111 |  34M   56M:   0  8192B:  34M   56M|44.9G  451G:53.6G  437G
24-02 14:28:18|  4   2  93   1   0|3074M 9473M 1469M 16.9G| 303   133 :   0  17.0 : 303   112 |  35M   57M:   0   156k:  35M   56M|44.9G  451G:53.6G  437G
24-02 14:28:19|  4   2  94   1   0|3110M 9436M 1469M 16.9G| 245   204 :   0  20.0 : 245   143 |  30M   76M:   0   192k:  30M   76M|44.9G  451G:53.7G  437G
24-02 14:28:20|  3   2  87   8   0|3114M 9431M 1469M 16.9G|1882   700 :   0  3.00 :1882   677 |  19M  305M:   0    12k:  19M  303M|44.9G  451G:53.7G  437G
